rid;source;source_district;source_subway;destination;destination_district;destination_subway;total;total_reverse;oneway;is_roundtrip;average_duration;shortest_time;average_shortest;distance;fares_day;fares_month;fares_season
1994;12;24;78;480;125;317;4;;;0;88;30;2.9;0;75;0;25
2282;14;141;69;234;147;566;1;;;0;28;19;1.5;0;0;0;100
2778;17;266;207;203;131;367;1;;;0;43;32;1.3;0;0;0;100
3137;19;266;708;439;24;336;2;;;0;14;12;1.2;0;0;100;0
4634;29;155;351;227;147;66;3;;;0;38;23;1.7;0;33;0;67
22290;244;131;691;397;154;16;1;;;0;49;34;1.4;0;0;0;100
26556;339;160;1523;318;148;858;7;;;0;35;27;1.3;0;14;14;71
6524;43;147;673;217;131;434;1;;;0;22;21;1;0;0;100;0
6948;46;155;134;218;131;103;4;;;0;53;24;2.2;0;100;0;0
30187;370;160;758;395;154;666;3;;;0;32;21;1.5;0;100;0;0
8206;55;131;550;231;155;55;2;;;0;29;22;1.3;0;0;0;100
8358;56;143;347;248;59;560;2;;;0;91;27;3.4;0;100;0;0
8639;58;146;622;152;143;142;2;;;0;578;21;27.5;0;50;0;50
8927;60;155;364;219;131;585;1;;;0;37;24;1.5;0;100;0;0
9819;74;143;387;405;155;402;2;;;0;110;28;3.9;0;50;50;0
10883;84;137;649;353;84;147;2;;;0;88;37;2.4;0;0;0;100
13683;129;141;347;38;266;260;9;;;0;18;10;1.8;0;44;0;56
12164;110;138;436;408;155;304;1;;;0;26;17;1.5;0;0;0;100
12319;114;147;494;16;266;36;3;;;0;109;17;6.4;0;33;0;67
13533;128;141;366;5;147;318;2;;;0;29;17;1.7;0;0;0;100
13692;129;141;347;75;137;7;2;;;0;31;19;1.6;0;0;0;100
384;3;138;152;50;138;124;26;39;67;0;60;2;30;0;46;4;50
515;4;138;149;4;138;149;944;944;100;1;32;0;;0;38;12;49
14270;138;266;265;8;147;375;2;;;0;29;18;1.6;0;50;0;50
14838;144;146;749;411;155;28;1;;;0;56;24;2.3;0;100;0;0
1446;10;155;105;10;155;105;921;921;100;1;23;0;;0;35;9;56
2183;14;141;69;14;141;69;467;467;100;1;22;0;;0;30;5;65
15556;151;137;20;377;83;84;1;;;0;43;45;1;0;100;0;0
2851;18;266;663;18;266;663;1409;1409;100;1;25;0;;0;33;12;55
18158;212;131;1061;358;67;664;1;;;0;41;24;1.7;0;0;100;0
3428;22;146;633;22;146;633;669;669;100;1;30;0;;0;40;8;51
18927;219;131;585;5;147;318;4;;;0;40;21;1.9;0;25;25;50
19503;223;147;822;25;131;235;1;;;0;99;21;4.7;0;100;0;0
4548;29;155;351;29;155;351;700;700;100;1;16;0;;0;40;10;49
20122;228;147;751;45;155;234;1;;;0;40;22;1.8;0;0;0;100
5633;36;24;318;36;24;318;269;269;100;1;20;0;;0;39;7;54
20482;232;147;309;3;138;152;8;;;0;32;14;2.3;0;13;0;88
21231;237;147;537;11;155;390;7;;;0;23;16;1.4;0;0;29;71
22288;244;131;691;351;154;120;3;;;0;63;33;1.9;0;67;0;33
22620;250;147;192;108;147;468;2;;;0;40;16;2.5;0;0;100;0
23150;302;148;327;241;131;493;1;;;0;30;31;1;0;0;0;100
23121;302;148;327;50;138;124;2;;;0;83;38;2.2;0;0;0;100
1629;11;155;390;10;155;105;272;267;102;0;12;2;6;0;29;10;60
23487;308;154;694;73;143;83;4;;;0;256;21;12.2;0;25;0;75
23587;309;145;1174;311;148;1259;1;;;0;21;24;0.9;0;0;0;100
23926;312;148;1320;1;131;77;5;;;0;87;30;2.9;0;80;20;0
23959;312;148;1320;200;131;286;1;;;0;62;25;2.5;0;0;0;100
24197;314;151;1401;308;154;694;1;;;0;24;19;1.3;0;0;100;0
28020;350;154;794;203;131;367;1;;;0;53;20;2.7;0;0;0;100
24851;318;148;858;337;151;1213;3;;;0;115;24;4.8;0;0;0;0
25337;324;159;1367;352;67;1138;2;;;0;216;25;8.6;0;0;0;0
25433;326;156;987;318;148;858;2;;;0;31;31;1;0;0;0;100
25707;330;154;318;202;131;243;1;;;0;37;28;1.3;0;0;0;100
26054;333;145;32;72;143;50;1;;;0;68;42;1.6;0;100;0;0
26064;333;145;32;156;143;402;2;;;0;119;43;2.8;0;100;0;0
26326;336;98;674;319;148;998;1;;;0;60;25;2.4;0;100;0;0
26541;338;160;1353;399;84;338;1;;;0;61;25;2.4;0;100;0;0
26946;341;41;462;369;159;1029;3;;;0;43;29;1.5;0;0;33;67
27760;348;67;2188;73;143;83;2;;;0;45;39;1.2;0;50;0;50
28805;356;67;1178;324;159;1367;2;;;0;28;24;1.2;0;50;50;0
28349;352;67;1138;334;98;22;1;;;0;102;35;2.9;0;100;0;0
28707;355;67;1824;372;145;1686;3;;;0;116;32;3.6;0;0;0;0
28578;354;67;2540;386;98;15;5;;;0;181;44;4.1;0;40;0;0
28669;355;67;1824;322;160;1124;1;;;0;72;22;3.3;0;0;0;100
11365;102;131;588;244;131;691;38;46;83;0;10;4;2.5;0;18;5;76
28766;356;67;1178;208;131;27;3;;;0;457;27;16.9;0;67;0;33
29086;359;67;127;55;131;550;2;;;0;131;33;4;0;50;0;50
13600;128;141;366;129;141;347;8;3;267;0;57;2;28.5;0;63;13;25
29605;363;158;1409;207;131;985;1;;;0;63;35;1.8;0;0;0;100
29803;365;151;1440;212;131;1061;2;;;0;57;31;1.8;0;0;0;100
13601;128;141;366;130;266;72;18;20;90;0;22;2;11;0;17;17;61
30015;369;159;1029;150;137;406;2;;;0;83;42;2;0;50;0;50
30830;380;160;1465;317;41;402;3;;;0;218;37;5.9;0;100;0;0
31280;387;98;6;320;148;820;2;;;0;169;31;5.5;0;0;100;0
31295;387;98;6;346;148;16;2;;;0;51;39;1.3;0;0;0;100
31426;389;157;1055;356;67;1178;3;;;0;44;29;1.5;0;0;0;33
31602;392;158;499;78;137;584;1;;;0;45;31;1.5;0;100;0;0
32577;401;155;371;422;132;108;5;;;0;40;14;2.9;0;60;0;40
32935;403;155;476;432;24;611;4;;;0;18;15;1.2;0;0;0;100
12080;110;138;436;110;138;436;392;392;100;1;21;0;;0;24;10;65
30478;374;145;974;379;98;870;32;28;114;0;16;6;2.7;0;22;3;69
12222;112;147;484;112;147;484;227;227;100;1;24;0;;0;33;17;47
33460;411;155;28;5;147;318;1;;;0;36;17;2.1;0;0;0;100
7290;50;138;124;57;143;659;11;9;122;0;23;9;2.6;0;36;18;45
33602;411;155;28;480;125;317;4;;;0;57;24;2.4;0;50;50;0
33764;414;132;611;58;146;622;2;;;0;28;26;1.1;0;0;50;50
31257;386;98;15;385;160;1333;288;129;223;0;18;8;2.2;0;22;25;51
34074;416;132;811;443;130;143;6;;;0;31;19;1.6;0;50;0;50
14193;136;266;555;132;266;298;12;20;60;0;13;3;4.3;0;17;25;58
34236;420;24;434;26;131;70;3;;;0;247;25;9.9;0;100;0;0
14670;142;146;440;142;146;440;266;266;100;1;28;0;;0;36;11;53
15848;154;143;88;154;143;88;3070;3070;100;1;66;0;;0;65;7;27
34499;422;132;108;420;24;434;42;40;105;0;16;4;4;0;38;24;38
34500;422;132;108;421;132;647;22;32;69;0;44;3;14.7;0;64;0;36
