X,Y,sid,code,name,slots,subway_distance,district,departures,arrivals,in_out,roundtrips,average,average_per_slot,unique_rides,start,start_month,lat,lon
37.639141,55.764719,15,16,Чистопрудный б-р (ст.м.Чистые пруды),10,36,266,6407,6008,107,18,42,1.1,44,2015-05-01 00:26:21,5,55.764719,37.639141
37.641142,55.76362,16,17,"Чистопрудный б-р (напротив  д.8, стр.1)",8,207,266,2846,2498,114,21,19,1.1,53,2015-05-01 17:26:26,5,55.76362,37.641142
37.64553,55.760306,17,18,"Чистопрудный б-р (напротив д.12, стр.1)",14,663,266,6606,6382,104,21,43,1,40,2015-05-01 09:59:17,5,55.760306,37.64553
37.647211,55.757313,18,19,"Покровский б-р (напротив д.8, стр.1)",8,708,266,1868,1740,107,22,12,1.1,44,2015-05-01 17:24:51,5,55.757313,37.647211
37.648355,55.755462,19,20,"Покровский б-р (напротив д.12, стр.1)",8,620,266,1622,1502,108,19,11,1.1,53,2015-05-01 12:57:04,5,55.755462,37.648355
37.64735,55.753328,20,21,"Покровский б-р (напротив д.18, стр.18)",8,740,266,2431,2446,99,22,16,1,51,2015-05-01 03:50:20,5,55.753328,37.64735
37.638839,55.748139,21,22,"Москворецкая наб., д.2А, стр.1",12,633,146,3284,3500,94,20,21,0.9,53,2015-05-01 18:14:05,5,55.748139,37.638839
37.632794,55.749635,22,23,"Москворецкая наб., д.9, стр.2",12,369,146,1797,1974,91,20,12,0.9,76,2015-05-01 20:12:03,5,55.749635,37.632794
37.609394,55.745976,23,24,"Пречистенская наб., д.45/1, стр.2А",12,255,131,4657,4823,97,22,31,1,64,2015-05-01 12:36:21,5,55.745976,37.609394
37.608481,55.7445,24,25,"Пречистенская наб., д.15, стр.1 (у Патриаршего моста)",12,235,131,3135,3391,92,21,21,0.9,69,2015-05-01 10:56:19,5,55.7445,37.608481
37.605561,55.746428,25,26,"ул. Волхонка, д.14, стр. 6 (Пушкинский музей)",12,70,131,3049,3075,99,22,20,1,62,2015-05-01 14:29:47,5,55.746428,37.605561
37.60477,55.756744,26,27,ул. Большая Никитская (напротив д.13),12,490,147,1758,1752,100,24,16,1,46,2015-05-01 01:06:54,5,55.756744,37.60477
37.612264,55.754864,27,28,"ул. Моховая, д.11",12,267,155,4557,4780,95,20,30,1,62,2015-05-01 00:49:51,5,55.754864,37.612264
37.60962,55.762079,28,29,"ул. Тверская, д.8",20,351,155,3244,2928,111,22,21,1.1,53,2015-05-01 15:11:50,5,55.762079,37.60962
37.612442,55.759361,29,30,"Камергерский пер., д.4",14,274,155,4296,4421,97,22,28,1,55,2015-05-01 00:11:44,5,55.759361,37.612442
37.616547,55.759165,30,31,"ул. Большая Дмитровка, д.2",12,75,155,2786,3118,89,24,18,0.9,58,2015-05-01 00:28:46,5,55.759165,37.616547
37.615807,55.759865,31,32,"ул. Большая Дмитровка, д.5/6, стр.5",12,161,155,2288,2549,90,22,15,0.9,58,2015-05-01 19:15:06,5,55.759865,37.615807
37.617189,55.763147,32,33,Столешников пер. (напротив д.11),10,476,155,2850,2938,97,21,19,1,48,2015-05-01 19:01:47,5,55.763147,37.617189
37.622831,55.761917,33,35,"ул. Кузнецкий мост, д.13/9, стр.1",18,97,24,5279,5331,99,23,35,1,54,2015-05-01 09:39:26,5,55.761917,37.622831
37.628345,55.763252,34,36,"Варсонофьевский пер., д.12",12,318,24,1344,1270,106,20,12,1.1,51,2015-06-10 23:15:06,6,55.763252,37.628345
37.636136,55.757758,35,38,"ул. Маросейка, д.19",12,260,266,5004,4990,100,19,33,1,48,2015-05-01 15:15:58,5,55.757758,37.636136
37.642574,55.759038,36,39,"ул. Покровка, д.7/9-11",22,688,266,4139,3839,108,18,27,1.1,46,2015-05-01 00:31:45,5,55.759038,37.642574
37.638475,55.752753,37,40,ул. Солянка (напротив д.8),12,219,146,2240,2452,91,22,15,0.9,64,2015-05-01 14:36:33,5,55.752753,37.638475
